m_phi,Delta_phi_ini,sector
0.3302,2.585999999999985,B
0.3302,2.587999999999985,B
0.3302,2.5899999999999848,B
0.3302,2.5919999999999845,B
0.3302,2.5939999999999843,B
0.3302,2.595999999999984,B
0.3302,2.597999999999984,B
0.3302,2.5999999999999837,B
0.3302,2.6019999999999834,B
0.3302,2.603999999999983,B
0.3302,2.605999999999983,B
0.3302,2.6079999999999828,B
0.3302,2.6099999999999826,B
0.3302,2.6119999999999823,B
0.3302,2.613999999999982,B
0.3302,2.615999999999982,B
0.3302,2.6179999999999817,B
0.3302,2.6199999999999815,B
0.3302,2.6219999999999812,B
0.3302,2.623999999999981,B
0.3302,2.625999999999981,B
0.3302,2.6279999999999806,B
0.3302,2.6299999999999804,B
0.3302,2.63199999999998,B
0.3302,2.63399999999998,B
0.3302,2.6359999999999797,B
0.3302,2.6379999999999795,B
0.3302,2.6399999999999793,B
0.3302,2.641999999999979,B
0.3302,2.643999999999979,B
0.3302,2.6459999999999786,B
0.3302,2.6479999999999784,B
0.3302,2.649999999999978,B
0.3302,2.651999999999978,B
0.3302,2.6539999999999777,B
0.3302,2.6559999999999775,B
0.3302,2.6579999999999773,B
0.3302,2.659999999999977,B
0.3302,2.661999999999977,B
0.3302,2.6639999999999766,B
0.3302,2.6659999999999764,B
0.3302,2.667999999999976,B
0.3302,2.669999999999976,B
0.3302,2.6719999999999757,B
0.3302,2.6739999999999755,B
0.3302,2.6759999999999753,B
0.3302,2.677999999999975,B
0.3302,2.679999999999975,B
0.3302,2.6819999999999746,B
0.3302,2.6839999999999744,B
0.3302,2.685999999999974,B
0.3302,2.687999999999974,B
0.3302,2.6899999999999737,B
0.3302,2.6919999999999735,B
0.3302,2.6939999999999733,B
0.3302,2.695999999999973,B
0.3302,2.697999999999973,B
0.3302,2.6999999999999726,B
0.3302,2.7019999999999724,B
0.3302,2.703999999999972,B
0.3302,2.705999999999972,B
0.3302,2.7079999999999718,B
0.3302,2.7099999999999715,B
0.3302,2.7119999999999713,B
0.3302,2.713999999999971,B
0.3302,2.715999999999971,B
0.3302,2.7179999999999707,B
0.3302,2.7199999999999704,B
0.3302,2.72199999999997,B
0.3302,2.72399999999997,B
0.3302,2.72599999999997,B
0.3302,2.7279999999999696,B
0.3302,2.7299999999999693,B
0.3302,2.731999999999969,B
0.3302,2.733999999999969,B
0.3302,2.7359999999999687,B
0.3302,2.7379999999999685,B
0.3302,2.7399999999999682,B
0.3302,2.741999999999968,B
0.3302,2.743999999999968,B
0.3302,2.7459999999999676,B
0.3302,2.7479999999999674,B
0.3302,2.749999999999967,B
0.3302,2.751999999999967,B
0.3302,2.7539999999999667,B
0.3302,2.7559999999999665,B
0.3302,2.7579999999999663,B
0.3302,2.759999999999966,B
0.3302,2.761999999999966,B
0.3302,2.7639999999999656,B
0.3302,2.7659999999999654,B
0.3302,2.767999999999965,B
0.3302,2.769999999999965,B
0.3302,2.7719999999999647,B
0.3302,2.7739999999999645,B
0.3302,2.7759999999999643,B
0.3302,2.777999999999964,B
0.3302,2.779999999999964,B
0.3302,2.7819999999999636,B
0.3302,2.7839999999999634,B
0.3302,2.785999999999963,B
0.3302,2.787999999999963,B
0.3302,2.7899999999999627,B
0.3302,2.7919999999999625,B
0.3302,2.7939999999999623,B
0.3302,2.795999999999962,B
0.3302,2.797999999999962,B
0.3302,2.7999999999999616,B
0.3302,2.8019999999999614,B
0.3302,2.803999999999961,B
0.3302,2.805999999999961,B
0.3302,2.8079999999999607,B
0.3302,2.8099999999999605,B
0.3302,2.8119999999999603,B
0.3302,2.81399999999996,B
0.3302,2.81599999999996,B
0.3302,2.8179999999999596,B
0.3302,2.8199999999999594,B
0.3302,2.821999999999959,B
0.3302,2.823999999999959,B
0.3302,2.8259999999999588,B
0.3302,2.8279999999999585,B
0.3302,2.8299999999999583,B
0.3302,2.831999999999958,B
0.3302,2.833999999999958,B
0.3302,2.8359999999999577,B
0.3302,2.8379999999999574,B
0.3302,2.8399999999999572,B
0.3302,2.841999999999957,B
0.3302,2.843999999999957,B
0.3302,2.8459999999999566,B
0.3302,2.8479999999999563,B
0.3302,2.849999999999956,B
0.33039999999999997,2.45,B
0.33039999999999997,2.452,B
0.33039999999999997,2.4539999999999997,B
0.33039999999999997,2.4559999999999995,B
0.33039999999999997,2.4579999999999993,B
0.33039999999999997,2.459999999999999,B
0.33039999999999997,2.461999999999999,B
0.33039999999999997,2.4639999999999986,B
0.33039999999999997,2.4659999999999984,B
0.33039999999999997,2.467999999999998,B
0.33039999999999997,2.469999999999998,B
0.33039999999999997,2.4719999999999978,B
0.33039999999999997,2.4739999999999975,B
0.33039999999999997,2.4759999999999973,B
0.33039999999999997,2.477999999999997,B
0.33039999999999997,2.479999999999997,B
0.33039999999999997,2.4819999999999967,B
0.33039999999999997,2.4839999999999964,B
0.33039999999999997,2.485999999999996,B
0.33039999999999997,2.487999999999996,B
0.33039999999999997,2.4899999999999958,B
0.33039999999999997,2.4919999999999956,B
0.33039999999999997,2.4939999999999953,B
0.33039999999999997,2.495999999999995,B
0.33039999999999997,2.497999999999995,B
0.33039999999999997,2.4999999999999947,B
0.33039999999999997,2.5019999999999945,B
0.33039999999999997,2.5039999999999942,B
0.33039999999999997,2.505999999999994,B
0.33039999999999997,2.507999999999994,B
0.33039999999999997,2.5099999999999936,B
0.33039999999999997,2.5119999999999933,B
0.33039999999999997,2.513999999999993,B
0.33039999999999997,2.515999999999993,B
0.33039999999999997,2.5179999999999927,B
0.33039999999999997,2.5199999999999925,B
0.33039999999999997,2.5219999999999922,B
0.33039999999999997,2.523999999999992,B
0.33039999999999997,2.525999999999992,B
0.33039999999999997,2.5279999999999916,B
0.33039999999999997,2.5299999999999914,B
0.33039999999999997,2.531999999999991,B
0.33039999999999997,2.533999999999991,B
0.33039999999999997,2.5359999999999907,B
0.33039999999999997,2.5379999999999905,B
0.33039999999999997,2.5399999999999903,B
0.33039999999999997,2.54199999999999,B
0.33039999999999997,2.54399999999999,B
0.33039999999999997,2.5459999999999896,B
0.33039999999999997,2.5479999999999894,B
0.33039999999999997,2.549999999999989,B
0.33039999999999997,2.551999999999989,B
0.33039999999999997,2.5539999999999887,B
0.33039999999999997,2.5559999999999885,B
0.33039999999999997,2.5579999999999883,B
0.33039999999999997,2.559999999999988,B
0.33039999999999997,2.561999999999988,B
0.33039999999999997,2.5639999999999876,B
0.33039999999999997,2.5659999999999874,B
0.33039999999999997,2.567999999999987,B
0.33039999999999997,2.569999999999987,B
0.33039999999999997,2.5719999999999867,B
0.33039999999999997,2.5739999999999865,B
0.33039999999999997,2.5759999999999863,B
0.33039999999999997,2.577999999999986,B
0.33039999999999997,2.579999999999986,B
0.33039999999999997,2.5819999999999856,B
0.33039999999999997,2.5839999999999854,B
0.33039999999999997,2.585999999999985,B
0.33039999999999997,2.587999999999985,B
0.33039999999999997,2.5899999999999848,B
0.33039999999999997,2.5919999999999845,B
0.33039999999999997,2.5939999999999843,B
0.33039999999999997,2.595999999999984,B
0.33039999999999997,2.597999999999984,B
0.33039999999999997,2.5999999999999837,B
0.33039999999999997,2.6019999999999834,B
0.33039999999999997,2.603999999999983,B
0.33039999999999997,2.605999999999983,B
0.33039999999999997,2.6079999999999828,B
0.33039999999999997,2.6099999999999826,B
0.33039999999999997,2.6119999999999823,B
0.33039999999999997,2.613999999999982,B
0.33039999999999997,2.615999999999982,B
0.33039999999999997,2.6179999999999817,B
0.33039999999999997,2.6199999999999815,B
0.33039999999999997,2.6219999999999812,B
0.33039999999999997,2.623999999999981,B
0.33039999999999997,2.625999999999981,B
0.33039999999999997,2.6279999999999806,B
0.33039999999999997,2.6299999999999804,B
0.33039999999999997,2.63199999999998,B
0.33039999999999997,2.63399999999998,B
0.33039999999999997,2.6359999999999797,B
0.33039999999999997,2.6379999999999795,B
0.33039999999999997,2.6399999999999793,B
0.33039999999999997,2.641999999999979,B
0.33039999999999997,2.643999999999979,B
0.33039999999999997,2.6459999999999786,B
0.33039999999999997,2.6479999999999784,B
0.33039999999999997,2.649999999999978,B
0.33039999999999997,2.651999999999978,B
0.33039999999999997,2.6539999999999777,B
0.33039999999999997,2.6559999999999775,B
0.33039999999999997,2.6579999999999773,B
0.33039999999999997,2.659999999999977,B
0.33039999999999997,2.661999999999977,B
0.33039999999999997,2.6639999999999766,B
0.33039999999999997,2.6659999999999764,B
0.33039999999999997,2.667999999999976,B
0.33039999999999997,2.669999999999976,B
0.33039999999999997,2.6719999999999757,B
0.33039999999999997,2.6739999999999755,B
0.33039999999999997,2.6759999999999753,B
0.33039999999999997,2.677999999999975,B
0.33039999999999997,2.679999999999975,B
0.33039999999999997,2.6819999999999746,B
0.33039999999999997,2.6839999999999744,B
0.33039999999999997,2.685999999999974,B
0.33039999999999997,2.687999999999974,B
0.33039999999999997,2.6899999999999737,B
0.33039999999999997,2.6919999999999735,B
0.33039999999999997,2.6939999999999733,B
0.33039999999999997,2.695999999999973,B
0.33039999999999997,2.697999999999973,B
0.33039999999999997,2.6999999999999726,B
0.33039999999999997,2.7019999999999724,B
0.33039999999999997,2.703999999999972,B
0.33039999999999997,2.705999999999972,B
0.33039999999999997,2.7079999999999718,B
0.33039999999999997,2.7099999999999715,B
0.33039999999999997,2.7119999999999713,B
0.33039999999999997,2.713999999999971,B
0.33039999999999997,2.715999999999971,B
0.33039999999999997,2.7179999999999707,B
0.33039999999999997,2.7199999999999704,B
0.33039999999999997,2.72199999999997,B
0.33039999999999997,2.72399999999997,B
0.33039999999999997,2.72599999999997,B
0.33039999999999997,2.7279999999999696,B
0.33039999999999997,2.7299999999999693,B
0.33039999999999997,2.731999999999969,B
0.33039999999999997,2.733999999999969,B
0.33039999999999997,2.7359999999999687,B
0.33039999999999997,2.7379999999999685,B
0.33039999999999997,2.7399999999999682,B
0.33039999999999997,2.741999999999968,B
0.33039999999999997,2.743999999999968,B
0.33039999999999997,2.7459999999999676,B
0.33039999999999997,2.7479999999999674,B
0.33039999999999997,2.749999999999967,B
0.33039999999999997,2.751999999999967,B
0.33039999999999997,2.7539999999999667,B
0.33039999999999997,2.7559999999999665,B
0.33039999999999997,2.7579999999999663,B
0.33039999999999997,2.759999999999966,B
0.33039999999999997,2.761999999999966,B
0.33039999999999997,2.7639999999999656,B
0.33039999999999997,2.7659999999999654,B
0.33039999999999997,2.767999999999965,B
0.33039999999999997,2.769999999999965,B
0.33039999999999997,2.7719999999999647,B
0.33039999999999997,2.7739999999999645,B
0.33039999999999997,2.7759999999999643,B
0.33039999999999997,2.777999999999964,B
0.33039999999999997,2.779999999999964,B
0.33039999999999997,2.7819999999999636,B
0.33039999999999997,2.7839999999999634,B
0.33039999999999997,2.785999999999963,B
0.33039999999999997,2.787999999999963,B
0.33039999999999997,2.7899999999999627,B
0.33039999999999997,2.7919999999999625,B
0.33039999999999997,2.7939999999999623,B
0.33039999999999997,2.795999999999962,B
0.33039999999999997,2.797999999999962,B
0.33039999999999997,2.7999999999999616,B
0.33039999999999997,2.8019999999999614,B
0.33039999999999997,2.803999999999961,B
0.33039999999999997,2.805999999999961,B
0.33039999999999997,2.8079999999999607,B
0.33039999999999997,2.8099999999999605,B
0.33039999999999997,2.8119999999999603,B
0.33039999999999997,2.81399999999996,B
0.33039999999999997,2.81599999999996,B
0.33039999999999997,2.8179999999999596,B
0.33039999999999997,2.8199999999999594,B
0.33039999999999997,2.821999999999959,B
0.33039999999999997,2.823999999999959,B
0.33039999999999997,2.8259999999999588,B
0.33039999999999997,2.8279999999999585,B
0.33039999999999997,2.8299999999999583,B
0.33039999999999997,2.831999999999958,B
0.33039999999999997,2.833999999999958,B
0.33039999999999997,2.8359999999999577,B
0.33039999999999997,2.8379999999999574,B
0.33039999999999997,2.8399999999999572,B
0.33039999999999997,2.841999999999957,B
0.33039999999999997,2.843999999999957,B
0.33039999999999997,2.8459999999999566,B
0.33039999999999997,2.8479999999999563,B
0.33039999999999997,2.849999999999956,B
0.33059999999999995,2.45,B
0.33059999999999995,2.452,B
0.33059999999999995,2.4539999999999997,B
0.33059999999999995,2.4559999999999995,B
0.33059999999999995,2.4579999999999993,B
0.33059999999999995,2.459999999999999,B
0.33059999999999995,2.461999999999999,B
0.33059999999999995,2.4639999999999986,B
0.33059999999999995,2.4659999999999984,B
0.33059999999999995,2.467999999999998,B
0.33059999999999995,2.469999999999998,B
0.33059999999999995,2.4719999999999978,B
0.33059999999999995,2.4739999999999975,B
0.33059999999999995,2.4759999999999973,B
0.33059999999999995,2.477999999999997,B
0.33059999999999995,2.479999999999997,B
0.33059999999999995,2.4819999999999967,B
0.33059999999999995,2.4839999999999964,B
0.33059999999999995,2.485999999999996,B
0.33059999999999995,2.487999999999996,B
0.33059999999999995,2.4899999999999958,B
0.33059999999999995,2.4919999999999956,B
0.33059999999999995,2.4939999999999953,B
0.33059999999999995,2.495999999999995,B
0.33059999999999995,2.497999999999995,B
0.33059999999999995,2.4999999999999947,B
0.33059999999999995,2.5019999999999945,B
0.33059999999999995,2.5039999999999942,B
0.33059999999999995,2.505999999999994,B
0.33059999999999995,2.507999999999994,B
0.33059999999999995,2.5099999999999936,B
0.33059999999999995,2.5119999999999933,B
0.33059999999999995,2.513999999999993,B
0.33059999999999995,2.515999999999993,B
0.33059999999999995,2.5179999999999927,B
0.33059999999999995,2.5199999999999925,B
0.33059999999999995,2.5219999999999922,B
0.33059999999999995,2.523999999999992,B
0.33059999999999995,2.525999999999992,B
0.33059999999999995,2.5279999999999916,B
0.33059999999999995,2.5299999999999914,B
0.33059999999999995,2.531999999999991,B
0.33059999999999995,2.533999999999991,B
0.33059999999999995,2.5359999999999907,B
0.33059999999999995,2.5379999999999905,B
0.33059999999999995,2.5399999999999903,B
0.33059999999999995,2.54199999999999,B
0.33059999999999995,2.54399999999999,B
0.33059999999999995,2.5459999999999896,B
0.33059999999999995,2.5479999999999894,B
0.33059999999999995,2.549999999999989,B
0.33059999999999995,2.551999999999989,B
0.33059999999999995,2.5539999999999887,B
0.33059999999999995,2.5559999999999885,B
0.33059999999999995,2.5579999999999883,B
0.33059999999999995,2.559999999999988,B
0.33059999999999995,2.561999999999988,B
0.33059999999999995,2.5639999999999876,B
0.33059999999999995,2.5659999999999874,B
0.33059999999999995,2.567999999999987,B
0.33059999999999995,2.569999999999987,B
0.33059999999999995,2.5719999999999867,B
0.33059999999999995,2.5739999999999865,B
0.33059999999999995,2.5759999999999863,B
0.33059999999999995,2.577999999999986,B
0.33059999999999995,2.579999999999986,B
0.33059999999999995,2.5819999999999856,B
0.33059999999999995,2.5839999999999854,B
0.33059999999999995,2.585999999999985,B
0.33059999999999995,2.587999999999985,B
0.33059999999999995,2.5899999999999848,B
0.33059999999999995,2.5919999999999845,B
0.33059999999999995,2.5939999999999843,B
0.33059999999999995,2.595999999999984,B
0.33059999999999995,2.597999999999984,B
0.33059999999999995,2.5999999999999837,B
0.33059999999999995,2.6019999999999834,B
0.33059999999999995,2.603999999999983,B
0.33059999999999995,2.605999999999983,B
0.33059999999999995,2.6079999999999828,B
0.33059999999999995,2.6099999999999826,B
0.33059999999999995,2.6119999999999823,B
0.33059999999999995,2.613999999999982,B
0.33059999999999995,2.615999999999982,B
0.33059999999999995,2.6179999999999817,B
0.33059999999999995,2.6199999999999815,B
0.33059999999999995,2.6219999999999812,B
0.33059999999999995,2.623999999999981,B
0.33059999999999995,2.625999999999981,B
0.33059999999999995,2.6279999999999806,B
0.33059999999999995,2.6299999999999804,B
0.33059999999999995,2.63199999999998,B
0.33059999999999995,2.63399999999998,B
0.33059999999999995,2.6359999999999797,B
0.33059999999999995,2.6379999999999795,B
0.33059999999999995,2.6399999999999793,B
0.33059999999999995,2.641999999999979,B
0.33059999999999995,2.643999999999979,B
0.33059999999999995,2.6459999999999786,B
0.33059999999999995,2.6479999999999784,B
0.33059999999999995,2.649999999999978,B
0.33059999999999995,2.651999999999978,B
0.33059999999999995,2.6539999999999777,B
0.33059999999999995,2.6559999999999775,B
0.33059999999999995,2.6579999999999773,B
0.33059999999999995,2.659999999999977,B
0.33059999999999995,2.661999999999977,B
0.33059999999999995,2.6639999999999766,B
0.33059999999999995,2.6659999999999764,B
0.33059999999999995,2.667999999999976,B
0.33059999999999995,2.669999999999976,B
0.33059999999999995,2.6719999999999757,B
0.33059999999999995,2.6739999999999755,B
0.33059999999999995,2.6759999999999753,B
0.33059999999999995,2.677999999999975,B
0.33059999999999995,2.679999999999975,B
0.33059999999999995,2.6819999999999746,B
0.33059999999999995,2.6839999999999744,B
0.33059999999999995,2.685999999999974,B
0.33059999999999995,2.687999999999974,B
0.33059999999999995,2.6899999999999737,B
0.33059999999999995,2.6919999999999735,B
0.33059999999999995,2.6939999999999733,B
0.33059999999999995,2.695999999999973,B
0.33059999999999995,2.697999999999973,B
0.33059999999999995,2.6999999999999726,B
0.33059999999999995,2.7019999999999724,B
0.33059999999999995,2.703999999999972,B
0.33059999999999995,2.705999999999972,B
0.33059999999999995,2.7079999999999718,B
0.33059999999999995,2.7099999999999715,B
0.33059999999999995,2.7119999999999713,B
0.33059999999999995,2.713999999999971,B
0.33059999999999995,2.715999999999971,B
0.33059999999999995,2.7179999999999707,B
0.33059999999999995,2.7199999999999704,B
0.33059999999999995,2.72199999999997,B
0.33059999999999995,2.72399999999997,B
0.33059999999999995,2.72599999999997,B
0.33059999999999995,2.7279999999999696,B
0.33059999999999995,2.7299999999999693,B
0.33059999999999995,2.731999999999969,B
0.33059999999999995,2.733999999999969,B
0.33059999999999995,2.7359999999999687,B
0.33059999999999995,2.7379999999999685,B
0.33059999999999995,2.7399999999999682,B
0.33059999999999995,2.741999999999968,B
0.33059999999999995,2.743999999999968,B
0.33059999999999995,2.7459999999999676,B
0.33059999999999995,2.7479999999999674,B
0.33059999999999995,2.749999999999967,B
0.33059999999999995,2.751999999999967,B
0.33059999999999995,2.7539999999999667,B
0.33059999999999995,2.7559999999999665,B
0.33059999999999995,2.7579999999999663,B
0.33059999999999995,2.759999999999966,B
0.33059999999999995,2.761999999999966,B
0.33059999999999995,2.7639999999999656,B
0.33059999999999995,2.7659999999999654,B
0.33059999999999995,2.767999999999965,B
0.33059999999999995,2.769999999999965,B
0.33059999999999995,2.7719999999999647,B
0.33059999999999995,2.7739999999999645,B
0.33059999999999995,2.7759999999999643,B
0.33059999999999995,2.777999999999964,B
0.33059999999999995,2.779999999999964,B
0.33059999999999995,2.7819999999999636,B
0.33059999999999995,2.7839999999999634,B
0.33059999999999995,2.785999999999963,B
0.33059999999999995,2.787999999999963,B
0.33059999999999995,2.7899999999999627,B
0.33059999999999995,2.7919999999999625,B
0.33059999999999995,2.7939999999999623,B
0.33059999999999995,2.795999999999962,B
0.33059999999999995,2.797999999999962,B
0.33059999999999995,2.7999999999999616,B
0.33059999999999995,2.8019999999999614,B
0.33059999999999995,2.803999999999961,B
0.33059999999999995,2.805999999999961,B
0.33059999999999995,2.8079999999999607,B
0.33059999999999995,2.8099999999999605,B
0.33059999999999995,2.8119999999999603,B
0.33059999999999995,2.81399999999996,B
0.33059999999999995,2.81599999999996,B
0.33059999999999995,2.8179999999999596,B
0.33059999999999995,2.8199999999999594,B
0.33059999999999995,2.821999999999959,B
0.33059999999999995,2.823999999999959,B
0.33059999999999995,2.8259999999999588,B
0.33059999999999995,2.8279999999999585,B
0.33059999999999995,2.8299999999999583,B
0.33059999999999995,2.831999999999958,B
0.33059999999999995,2.833999999999958,B
0.33059999999999995,2.8359999999999577,B
0.33059999999999995,2.8379999999999574,B
0.33059999999999995,2.8399999999999572,B
0.33059999999999995,2.841999999999957,B
0.33059999999999995,2.843999999999957,B
0.33059999999999995,2.8459999999999566,B
0.33059999999999995,2.8479999999999563,B
0.33059999999999995,2.849999999999956,B
0.3307999999999999,2.45,B
0.3307999999999999,2.452,B
0.3307999999999999,2.4539999999999997,B
0.3307999999999999,2.4559999999999995,B
