m_phi,delta_phi_ini,sector
0.917948717948718,2.3064857456735193,C
0.917948717948718,2.3462527412885796,C
0.917948717948718,2.3860197369036404,C
0.917948717948718,2.4257867325187012,C
0.917948717948718,2.465553728133762,C
0.917948717948718,2.5053207237488224,C
0.917948717948718,2.5450877193638832,C
0.917948717948718,2.584854714978944,C
0.917948717948718,2.6246217105940044,C
0.917948717948718,2.664388706209065,C
0.917948717948718,2.704155701824126,C
0.917948717948718,2.743922697439187,C
0.917948717948718,2.783689693054247,C
0.917948717948718,2.823456688669308,C
0.917948717948718,2.863223684284369,C
0.917948717948718,2.902990679899429,C
0.917948717948718,2.94275767551449,C
0.917948717948718,2.9825246711295508,C
0.917948717948718,3.022291666744611,C
0.917948717948718,3.062058662359672,C
0.917948717948718,3.1018256579747328,C
0.917948717948718,3.141592653589793,C
0.9384615384615385,0.0,C
0.9384615384615385,0.039766995615060675,C
0.9384615384615385,0.07953399123012135,C
0.9384615384615385,0.11930098684518203,C
0.9384615384615385,0.1590679824602427,C
0.9384615384615385,0.19883497807530337,C
0.9384615384615385,0.23860197369036407,C
0.9384615384615385,0.2783689693054247,C
0.9384615384615385,0.3181359649204854,C
0.9384615384615385,0.3579029605355461,C
0.9384615384615385,0.39766995615060674,C
0.9384615384615385,0.43743695176566744,C
0.9384615384615385,0.47720394738072813,C
0.9384615384615385,0.5169709429957888,C
0.9384615384615385,0.5567379386108494,C
0.9384615384615385,0.5965049342259101,C
0.9384615384615385,0.6362719298409708,C
0.9384615384615385,0.6760389254560315,C
0.9384615384615385,0.7158059210710922,C
0.9384615384615385,0.7555729166861528,C
0.9384615384615385,0.7953399123012135,C
0.9384615384615385,0.8351069079162742,C
0.9384615384615385,0.8748739035313349,C
0.9384615384615385,0.9146408991463956,C
0.9384615384615385,0.9544078947614563,C
0.9384615384615385,0.9941748903765169,C
0.9384615384615385,1.0339418859915777,C
0.9384615384615385,1.0737088816066382,C
0.9384615384615385,1.1134758772216988,C
0.9384615384615385,1.1532428728367596,C
0.9384615384615385,1.1930098684518202,C
0.9384615384615385,1.232776864066881,C
0.9384615384615385,1.2725438596819416,C
0.9384615384615385,1.3123108552970022,C
0.9384615384615385,1.352077850912063,C
0.9384615384615385,1.3918448465271236,C
0.9384615384615385,1.4316118421421844,C
0.9384615384615385,1.471378837757245,C
0.9384615384615385,1.5111458333723056,C
0.9384615384615385,1.5509128289873664,C
0.9384615384615385,1.590679824602427,C
0.9384615384615385,1.6304468202174878,C
0.9384615384615385,1.6702138158325484,C
0.9384615384615385,1.709980811447609,C
0.9384615384615385,1.7497478070626697,C
0.9384615384615385,1.7895148026777303,C
0.9384615384615385,1.8292817982927911,C
0.9384615384615385,1.8690487939078517,C
0.9384615384615385,1.9088157895229125,C
0.9384615384615385,1.9485827851379731,C
0.9384615384615385,1.9883497807530337,C
0.9384615384615385,2.0281167763680945,C
0.9384615384615385,2.0678837719831553,C
0.9384615384615385,2.1076507675982157,C
0.9384615384615385,2.1474177632132765,C
0.9384615384615385,2.1871847588283373,C
0.9384615384615385,2.2269517544433977,C
0.9384615384615385,2.2667187500584585,C
0.9384615384615385,2.3064857456735193,C
0.9384615384615385,2.3462527412885796,C
0.9384615384615385,2.3860197369036404,C
0.9384615384615385,2.4257867325187012,C
0.9384615384615385,2.465553728133762,C
0.9384615384615385,2.5053207237488224,C
0.9384615384615385,2.5450877193638832,C
0.9384615384615385,2.584854714978944,C
0.9384615384615385,2.6246217105940044,C
0.9384615384615385,2.664388706209065,C
0.9384615384615385,2.704155701824126,C
0.9384615384615385,2.743922697439187,C
0.9384615384615385,2.783689693054247,C
0.9384615384615385,2.823456688669308,C
0.9384615384615385,2.863223684284369,C
0.9384615384615385,2.902990679899429,C
0.9384615384615385,2.94275767551449,C
0.9384615384615385,2.9825246711295508,C
0.9384615384615385,3.022291666744611,C
0.9384615384615385,3.062058662359672,C
0.9384615384615385,3.1018256579747328,C
0.9384615384615385,3.141592653589793,C
0.9589743589743589,0.0,C
0.9589743589743589,0.039766995615060675,C
0.9589743589743589,0.07953399123012135,C
0.9589743589743589,0.11930098684518203,C
0.9589743589743589,0.1590679824602427,C
0.9589743589743589,0.19883497807530337,C
0.9589743589743589,0.23860197369036407,C
0.9589743589743589,0.2783689693054247,C
0.9589743589743589,0.3181359649204854,C
0.9589743589743589,0.3579029605355461,C
0.9589743589743589,0.39766995615060674,C
0.9589743589743589,0.43743695176566744,C
0.9589743589743589,0.47720394738072813,C
0.9589743589743589,0.5169709429957888,C
0.9589743589743589,0.5567379386108494,C
0.9589743589743589,0.5965049342259101,C
0.9589743589743589,0.6362719298409708,C
0.9589743589743589,0.6760389254560315,C
0.9589743589743589,0.7158059210710922,C
0.9589743589743589,0.7555729166861528,C
0.9589743589743589,0.7953399123012135,C
0.9589743589743589,0.8351069079162742,C
0.9589743589743589,0.8748739035313349,C
0.9589743589743589,0.9146408991463956,C
0.9589743589743589,0.9544078947614563,C
0.9589743589743589,0.9941748903765169,C
0.9589743589743589,1.0339418859915777,C
0.9589743589743589,1.0737088816066382,C
0.9589743589743589,1.1134758772216988,C
0.9589743589743589,1.1532428728367596,C
0.9589743589743589,1.1930098684518202,C
0.9589743589743589,1.232776864066881,C
0.9589743589743589,1.2725438596819416,C
0.9589743589743589,1.3123108552970022,C
0.9589743589743589,1.352077850912063,C
0.9589743589743589,1.3918448465271236,C
0.9589743589743589,1.4316118421421844,C
0.9589743589743589,1.471378837757245,C
0.9589743589743589,1.5111458333723056,C
0.9589743589743589,1.5509128289873664,C
0.9589743589743589,1.590679824602427,C
0.9589743589743589,1.6304468202174878,C
0.9589743589743589,1.6702138158325484,C
0.9589743589743589,1.709980811447609,C
0.9589743589743589,1.7497478070626697,C
0.9589743589743589,1.7895148026777303,C
0.9589743589743589,1.8292817982927911,C
0.9589743589743589,1.8690487939078517,C
0.9589743589743589,1.9088157895229125,C
0.9589743589743589,1.9485827851379731,C
0.9589743589743589,1.9883497807530337,C
0.9589743589743589,2.0281167763680945,C
0.9589743589743589,2.0678837719831553,C
0.9589743589743589,2.1076507675982157,C
0.9589743589743589,2.1474177632132765,C
0.9589743589743589,2.1871847588283373,C
0.9589743589743589,2.2269517544433977,C
0.9589743589743589,2.2667187500584585,C
0.9589743589743589,2.3064857456735193,C
0.9589743589743589,2.3462527412885796,C
0.9589743589743589,2.3860197369036404,C
0.9589743589743589,2.4257867325187012,C
0.9589743589743589,2.465553728133762,C
0.9589743589743589,2.5053207237488224,C
0.9589743589743589,2.5450877193638832,C
0.9589743589743589,2.584854714978944,C
0.9589743589743589,2.6246217105940044,C
0.9589743589743589,2.664388706209065,C
0.9589743589743589,2.704155701824126,C
0.9589743589743589,2.743922697439187,C
0.9589743589743589,2.783689693054247,C
0.9589743589743589,2.823456688669308,C
0.9589743589743589,2.863223684284369,C
0.9589743589743589,2.902990679899429,C
0.9589743589743589,2.94275767551449,C
0.9589743589743589,2.9825246711295508,C
0.9589743589743589,3.022291666744611,C
0.9589743589743589,3.062058662359672,C
0.9589743589743589,3.1018256579747328,C
0.9589743589743589,3.141592653589793,C
0.9794871794871796,0.0,C
0.9794871794871796,0.039766995615060675,C
0.9794871794871796,0.07953399123012135,C
0.9794871794871796,0.11930098684518203,C
0.9794871794871796,0.1590679824602427,C
0.9794871794871796,0.19883497807530337,C
0.9794871794871796,0.23860197369036407,C
0.9794871794871796,0.2783689693054247,C
0.9794871794871796,0.3181359649204854,C
0.9794871794871796,0.3579029605355461,C
0.9794871794871796,0.39766995615060674,C
0.9794871794871796,0.43743695176566744,C
0.9794871794871796,0.47720394738072813,C
0.9794871794871796,0.5169709429957888,C
0.9794871794871796,0.5567379386108494,C
0.9794871794871796,0.5965049342259101,C
0.9794871794871796,0.6362719298409708,C
0.9794871794871796,0.6760389254560315,C
0.9794871794871796,0.7158059210710922,C
0.9794871794871796,0.7555729166861528,C
0.9794871794871796,0.7953399123012135,C
0.9794871794871796,0.8351069079162742,C
0.9794871794871796,0.8748739035313349,A
0.9794871794871796,0.9146408991463956,A
0.9794871794871796,0.9544078947614563,A
0.9794871794871796,0.9941748903765169,A
0.9794871794871796,1.0339418859915777,A
0.9794871794871796,1.0737088816066382,A
0.9794871794871796,1.1134758772216988,A
0.9794871794871796,1.1532428728367596,A
0.9794871794871796,1.1930098684518202,A
0.9794871794871796,1.232776864066881,A
0.9794871794871796,1.2725438596819416,A
0.9794871794871796,1.3123108552970022,A
0.9794871794871796,1.352077850912063,A
0.9794871794871796,1.3918448465271236,A
0.9794871794871796,1.4316118421421844,A
0.9794871794871796,1.471378837757245,A
0.9794871794871796,1.5111458333723056,A
0.9794871794871796,1.5509128289873664,A
0.9794871794871796,1.590679824602427,A
0.9794871794871796,1.6304468202174878,A
0.9794871794871796,1.6702138158325484,A
0.9794871794871796,1.709980811447609,A
0.9794871794871796,1.7497478070626697,A
0.9794871794871796,1.7895148026777303,A
0.9794871794871796,1.8292817982927911,A
0.9794871794871796,1.8690487939078517,A
0.9794871794871796,1.9088157895229125,A
0.9794871794871796,1.9485827851379731,A
0.9794871794871796,1.9883497807530337,A
0.9794871794871796,2.0281167763680945,A
0.9794871794871796,2.0678837719831553,A
0.9794871794871796,2.1076507675982157,A
0.9794871794871796,2.1474177632132765,A
0.9794871794871796,2.1871847588283373,A
0.9794871794871796,2.2269517544433977,A
0.9794871794871796,2.2667187500584585,A
0.9794871794871796,2.3064857456735193,A
0.9794871794871796,2.3462527412885796,A
0.9794871794871796,2.3860197369036404,A
0.9794871794871796,2.4257867325187012,A
0.9794871794871796,2.465553728133762,A
0.9794871794871796,2.5053207237488224,A
0.9794871794871796,2.5450877193638832,A
0.9794871794871796,2.584854714978944,A
0.9794871794871796,2.6246217105940044,A
0.9794871794871796,2.664388706209065,A
0.9794871794871796,2.704155701824126,A
0.9794871794871796,2.743922697439187,A
0.9794871794871796,2.783689693054247,A
0.9794871794871796,2.823456688669308,A
0.9794871794871796,2.863223684284369,A
0.9794871794871796,2.902990679899429,C
0.9794871794871796,2.94275767551449,C
0.9794871794871796,2.9825246711295508,C
0.9794871794871796,3.022291666744611,C
0.9794871794871796,3.062058662359672,C
0.9794871794871796,3.1018256579747328,C
0.9794871794871796,3.141592653589793,C
1.0,0.0,C
1.0,0.039766995615060675,C
1.0,0.07953399123012135,C
1.0,0.11930098684518203,C
1.0,0.1590679824602427,C
1.0,0.19883497807530337,C
1.0,0.23860197369036407,C
1.0,0.2783689693054247,C
1.0,0.3181359649204854,C
1.0,0.3579029605355461,C
1.0,0.39766995615060674,C
1.0,0.43743695176566744,C
1.0,0.47720394738072813,A
1.0,0.5169709429957888,A
1.0,0.5567379386108494,A
1.0,0.5965049342259101,A
1.0,0.6362719298409708,A
1.0,0.6760389254560315,A
1.0,0.7158059210710922,A
1.0,0.7555729166861528,A
1.0,0.7953399123012135,A
1.0,0.8351069079162742,A
1.0,0.8748739035313349,A
1.0,0.9146408991463956,A
1.0,0.9544078947614563,A
1.0,0.9941748903765169,A
1.0,1.0339418859915777,A
1.0,1.0737088816066382,A
1.0,1.1134758772216988,A
1.0,1.1532428728367596,A
1.0,1.1930098684518202,A
1.0,1.232776864066881,A
1.0,1.2725438596819416,A
1.0,1.3123108552970022,A
1.0,1.352077850912063,A
1.0,1.3918448465271236,A
1.0,1.4316118421421844,A
1.0,1.471378837757245,A
1.0,1.5111458333723056,A
1.0,1.5509128289873664,A
1.0,1.590679824602427,A
1.0,1.6304468202174878,A
1.0,1.6702138158325484,A
1.0,1.709980811447609,C
1.0,1.7497478070626697,C
1.0,1.7895148026777303,C
1.0,1.8292817982927911,C
1.0,1.8690487939078517,C
1.0,1.9088157895229125,C
1.0,1.9485827851379731,C
1.0,1.9883497807530337,C
1.0,2.0281167763680945,C
1.0,2.0678837719831553,C
1.0,2.1076507675982157,C
1.0,2.1474177632132765,C
1.0,2.1871847588283373,C
1.0,2.2269517544433977,C
1.0,2.2667187500584585,C
1.0,2.3064857456735193,C
1.0,2.3462527412885796,C
1.0,2.3860197369036404,C
1.0,2.4257867325187012,C
1.0,2.465553728133762,C
1.0,2.5053207237488224,C
1.0,2.5450877193638832,C
1.0,2.584854714978944,C
1.0,2.6246217105940044,C
1.0,2.664388706209065,C
1.0,2.704155701824126,C
1.0,2.743922697439187,C
1.0,2.783689693054247,C
1.0,2.823456688669308,C
1.0,2.863223684284369,C
1.0,2.902990679899429,C
1.0,2.94275767551449,C
1.0,2.9825246711295508,C
1.0,3.022291666744611,C
1.0,3.062058662359672,C
1.0,3.1018256579747328,C
1.0,3.141592653589793,C
