m_phi,Delta_phi_ini,sector
0.3505999999999999,1.9300000000000002,B
0.3505999999999999,1.9320000000000002,B
0.3505999999999999,1.9340000000000002,B
0.3505999999999999,1.9360000000000002,B
0.3505999999999999,1.9380000000000002,B
0.3505999999999999,1.9400000000000002,B
0.3505999999999999,1.9420000000000002,B
0.3505999999999999,1.9440000000000002,B
0.3505999999999999,1.9460000000000002,B
0.3505999999999999,1.9480000000000002,B
0.3505999999999999,1.9500000000000002,B
0.3505999999999999,1.9520000000000002,B
0.3505999999999999,1.9540000000000002,B
0.3505999999999999,1.9560000000000002,B
0.3505999999999999,1.9580000000000002,B
0.3505999999999999,1.9600000000000002,B
0.3505999999999999,1.9620000000000002,B
0.3505999999999999,1.9640000000000002,B
0.3505999999999999,1.9660000000000002,B
0.3505999999999999,1.9680000000000002,B
0.3505999999999999,1.9700000000000002,B
0.3505999999999999,1.9720000000000002,B
0.3505999999999999,1.9740000000000002,B
0.3505999999999999,1.9760000000000002,B
0.3505999999999999,1.9780000000000002,B
0.3505999999999999,1.9800000000000002,B
0.3505999999999999,1.9820000000000002,B
0.3505999999999999,1.9840000000000002,B
0.3505999999999999,1.9860000000000002,B
0.3505999999999999,1.9880000000000002,B
0.3505999999999999,1.9900000000000002,B
0.3505999999999999,1.9920000000000002,B
0.3505999999999999,1.9940000000000002,B
0.3505999999999999,1.9960000000000002,B
0.3505999999999999,1.9980000000000002,B
0.3505999999999999,2.0,B
0.3505999999999999,2.0020000000000002,B
0.3505999999999999,2.0040000000000004,B
0.3505999999999999,2.0060000000000002,B
0.3505999999999999,2.008,B
0.3505999999999999,2.0100000000000002,B
0.3505999999999999,2.0120000000000005,B
0.3505999999999999,2.0140000000000002,B
0.3505999999999999,2.016,B
0.3505999999999999,2.0180000000000002,B
0.3505999999999999,2.0200000000000005,B
0.3505999999999999,2.0220000000000002,B
0.3505999999999999,2.024,B
0.3505999999999999,2.0260000000000002,B
0.3505999999999999,2.0280000000000005,B
0.3505999999999999,2.0300000000000002,B
0.3505999999999999,2.032,B
0.3505999999999999,2.0340000000000003,B
0.3505999999999999,2.0360000000000005,B
0.3505999999999999,2.0380000000000003,B
0.3505999999999999,2.04,B
0.3505999999999999,2.0420000000000003,B
0.3505999999999999,2.0440000000000005,B
0.3505999999999999,2.0460000000000003,B
0.3505999999999999,2.048,B
0.3505999999999999,2.0500000000000003,B
0.3505999999999999,2.0520000000000005,B
0.3505999999999999,2.0540000000000003,B
0.3505999999999999,2.056,B
0.3505999999999999,2.0580000000000003,B
0.3505999999999999,2.0600000000000005,B
0.3505999999999999,2.0620000000000003,B
0.3505999999999999,2.064,B
0.3505999999999999,2.0660000000000003,B
0.3505999999999999,2.0680000000000005,B
0.3505999999999999,2.0700000000000003,B
0.3505999999999999,2.072,B
0.3505999999999999,2.0740000000000003,B
0.3505999999999999,2.0760000000000005,B
0.3505999999999999,2.0780000000000003,B
0.3505999999999999,2.08,B
0.3505999999999999,2.0820000000000003,B
0.3505999999999999,2.0840000000000005,B
0.3505999999999999,2.0860000000000003,B
0.3505999999999999,2.088,B
0.3505999999999999,2.0900000000000003,B
0.3505999999999999,2.0920000000000005,B
0.3505999999999999,2.0940000000000003,B
0.3505999999999999,2.096,B
0.3505999999999999,2.0980000000000003,B
0.3505999999999999,2.1000000000000005,B
0.3505999999999999,2.1020000000000003,B
0.3505999999999999,2.104,B
0.3505999999999999,2.1060000000000003,B
0.3505999999999999,2.1080000000000005,B
0.3505999999999999,2.1100000000000003,B
0.3505999999999999,2.112,B
0.3505999999999999,2.1140000000000003,B
0.3505999999999999,2.1160000000000005,B
0.3505999999999999,2.1180000000000003,B
0.3505999999999999,2.12,B
0.3505999999999999,2.1220000000000003,B
0.3505999999999999,2.1240000000000006,B
0.3505999999999999,2.1260000000000003,B
0.3505999999999999,2.128,B
0.3505999999999999,2.1300000000000003,B
0.3505999999999999,2.1320000000000006,B
0.3505999999999999,2.1340000000000003,B
0.3505999999999999,2.136,B
0.3505999999999999,2.1380000000000003,B
0.3505999999999999,2.1400000000000006,B
0.3505999999999999,2.1420000000000003,B
0.3505999999999999,2.144,B
0.3505999999999999,2.1460000000000004,B
0.3505999999999999,2.1480000000000006,B
0.3505999999999999,2.1500000000000004,B
0.3505999999999999,2.152,B
0.3505999999999999,2.1540000000000004,B
0.3505999999999999,2.1560000000000006,B
0.3505999999999999,2.1580000000000004,B
0.3505999999999999,2.16,B
0.3505999999999999,2.1620000000000004,B
0.3505999999999999,2.1640000000000006,B
0.3505999999999999,2.1660000000000004,B
0.3505999999999999,2.168,B
0.3505999999999999,2.1700000000000004,B
0.3505999999999999,2.1720000000000006,B
0.3505999999999999,2.1740000000000004,B
0.3505999999999999,2.176,B
0.3505999999999999,2.1780000000000004,B
0.3505999999999999,2.1800000000000006,B
0.3505999999999999,2.1820000000000004,B
0.3505999999999999,2.184,B
0.3505999999999999,2.1860000000000004,B
0.3505999999999999,2.1880000000000006,B
0.3505999999999999,2.1900000000000004,B
0.3505999999999999,2.192,B
0.3505999999999999,2.1940000000000004,B
0.3505999999999999,2.1960000000000006,A
0.3505999999999999,2.1980000000000004,A
0.3505999999999999,2.2,A
0.3507999999999999,1.7,B
0.3507999999999999,1.702,B
0.3507999999999999,1.704,B
0.3507999999999999,1.706,B
0.3507999999999999,1.708,B
0.3507999999999999,1.71,B
0.3507999999999999,1.712,B
0.3507999999999999,1.714,B
0.3507999999999999,1.716,B
0.3507999999999999,1.718,B
0.3507999999999999,1.72,B
0.3507999999999999,1.722,B
0.3507999999999999,1.724,B
0.3507999999999999,1.726,B
0.3507999999999999,1.728,B
0.3507999999999999,1.73,B
0.3507999999999999,1.732,B
0.3507999999999999,1.734,B
0.3507999999999999,1.736,B
0.3507999999999999,1.738,B
0.3507999999999999,1.74,B
0.3507999999999999,1.742,B
0.3507999999999999,1.744,B
0.3507999999999999,1.746,B
0.3507999999999999,1.748,B
0.3507999999999999,1.75,B
0.3507999999999999,1.752,B
0.3507999999999999,1.754,B
0.3507999999999999,1.756,B
0.3507999999999999,1.758,B
0.3507999999999999,1.76,B
0.3507999999999999,1.762,B
0.3507999999999999,1.764,B
0.3507999999999999,1.766,B
0.3507999999999999,1.768,B
0.3507999999999999,1.77,B
0.3507999999999999,1.772,B
0.3507999999999999,1.774,B
0.3507999999999999,1.776,B
0.3507999999999999,1.778,B
0.3507999999999999,1.78,B
0.3507999999999999,1.782,B
0.3507999999999999,1.784,B
0.3507999999999999,1.786,B
0.3507999999999999,1.788,B
0.3507999999999999,1.79,B
0.3507999999999999,1.792,B
0.3507999999999999,1.794,B
0.3507999999999999,1.796,B
0.3507999999999999,1.798,B
0.3507999999999999,1.8,B
0.3507999999999999,1.802,B
0.3507999999999999,1.804,B
0.3507999999999999,1.806,B
0.3507999999999999,1.808,B
0.3507999999999999,1.81,B
0.3507999999999999,1.812,B
0.3507999999999999,1.814,B
0.3507999999999999,1.816,B
0.3507999999999999,1.818,B
0.3507999999999999,1.82,B
0.3507999999999999,1.822,B
0.3507999999999999,1.824,B
0.3507999999999999,1.826,B
0.3507999999999999,1.828,B
0.3507999999999999,1.83,B
0.3507999999999999,1.832,B
0.3507999999999999,1.834,B
0.3507999999999999,1.836,B
0.3507999999999999,1.838,B
0.3507999999999999,1.84,B
0.3507999999999999,1.842,B
0.3507999999999999,1.844,B
0.3507999999999999,1.846,B
0.3507999999999999,1.848,B
0.3507999999999999,1.85,B
0.3507999999999999,1.852,B
0.3507999999999999,1.854,B
0.3507999999999999,1.856,B
0.3507999999999999,1.858,B
0.3507999999999999,1.86,B
0.3507999999999999,1.862,B
0.3507999999999999,1.864,B
0.3507999999999999,1.866,B
0.3507999999999999,1.868,B
0.3507999999999999,1.87,B
0.3507999999999999,1.872,B
0.3507999999999999,1.874,B
0.3507999999999999,1.8760000000000001,B
0.3507999999999999,1.8780000000000001,B
0.3507999999999999,1.8800000000000001,B
0.3507999999999999,1.8820000000000001,B
0.3507999999999999,1.8840000000000001,B
0.3507999999999999,1.8860000000000001,B
0.3507999999999999,1.8880000000000001,B
0.3507999999999999,1.8900000000000001,B
0.3507999999999999,1.8920000000000001,B
0.3507999999999999,1.8940000000000001,B
0.3507999999999999,1.8960000000000001,B
0.3507999999999999,1.8980000000000001,B
0.3507999999999999,1.9000000000000001,B
0.3507999999999999,1.9020000000000001,B
0.3507999999999999,1.9040000000000001,B
0.3507999999999999,1.9060000000000001,B
0.3507999999999999,1.9080000000000001,B
0.3507999999999999,1.9100000000000001,B
0.3507999999999999,1.9120000000000001,B
0.3507999999999999,1.9140000000000001,B
0.3507999999999999,1.9160000000000001,B
0.3507999999999999,1.9180000000000001,B
0.3507999999999999,1.9200000000000002,B
0.3507999999999999,1.9220000000000002,B
0.3507999999999999,1.9240000000000002,B
0.3507999999999999,1.9260000000000002,B
0.3507999999999999,1.9280000000000002,B
0.3507999999999999,1.9300000000000002,B
0.3507999999999999,1.9320000000000002,B
0.3507999999999999,1.9340000000000002,B
0.3507999999999999,1.9360000000000002,B
0.3507999999999999,1.9380000000000002,B
0.3507999999999999,1.9400000000000002,B
0.3507999999999999,1.9420000000000002,B
0.3507999999999999,1.9440000000000002,B
0.3507999999999999,1.9460000000000002,B
0.3507999999999999,1.9480000000000002,B
0.3507999999999999,1.9500000000000002,B
0.3507999999999999,1.9520000000000002,B
0.3507999999999999,1.9540000000000002,B
0.3507999999999999,1.9560000000000002,B
0.3507999999999999,1.9580000000000002,B
0.3507999999999999,1.9600000000000002,B
0.3507999999999999,1.9620000000000002,B
0.3507999999999999,1.9640000000000002,B
0.3507999999999999,1.9660000000000002,B
0.3507999999999999,1.9680000000000002,B
0.3507999999999999,1.9700000000000002,B
0.3507999999999999,1.9720000000000002,B
0.3507999999999999,1.9740000000000002,B
0.3507999999999999,1.9760000000000002,B
0.3507999999999999,1.9780000000000002,B
0.3507999999999999,1.9800000000000002,B
0.3507999999999999,1.9820000000000002,B
0.3507999999999999,1.9840000000000002,B
0.3507999999999999,1.9860000000000002,B
0.3507999999999999,1.9880000000000002,B
0.3507999999999999,1.9900000000000002,B
0.3507999999999999,1.9920000000000002,B
0.3507999999999999,1.9940000000000002,B
0.3507999999999999,1.9960000000000002,B
0.3507999999999999,1.9980000000000002,B
0.3507999999999999,2.0,B
0.3507999999999999,2.0020000000000002,B
0.3507999999999999,2.0040000000000004,B
0.3507999999999999,2.0060000000000002,B
0.3507999999999999,2.008,B
0.3507999999999999,2.0100000000000002,B
0.3507999999999999,2.0120000000000005,B
0.3507999999999999,2.0140000000000002,B
0.3507999999999999,2.016,B
0.3507999999999999,2.0180000000000002,B
0.3507999999999999,2.0200000000000005,B
0.3507999999999999,2.0220000000000002,B
0.3507999999999999,2.024,B
0.3507999999999999,2.0260000000000002,B
0.3507999999999999,2.0280000000000005,B
0.3507999999999999,2.0300000000000002,B
0.3507999999999999,2.032,B
0.3507999999999999,2.0340000000000003,B
0.3507999999999999,2.0360000000000005,B
0.3507999999999999,2.0380000000000003,B
0.3507999999999999,2.04,B
0.3507999999999999,2.0420000000000003,B
0.3507999999999999,2.0440000000000005,B
0.3507999999999999,2.0460000000000003,B
0.3507999999999999,2.048,B
0.3507999999999999,2.0500000000000003,B
0.3507999999999999,2.0520000000000005,B
0.3507999999999999,2.0540000000000003,B
0.3507999999999999,2.056,B
0.3507999999999999,2.0580000000000003,B
0.3507999999999999,2.0600000000000005,B
0.3507999999999999,2.0620000000000003,B
0.3507999999999999,2.064,B
0.3507999999999999,2.0660000000000003,B
0.3507999999999999,2.0680000000000005,B
0.3507999999999999,2.0700000000000003,B
0.3507999999999999,2.072,B
0.3507999999999999,2.0740000000000003,B
0.3507999999999999,2.0760000000000005,B
0.3507999999999999,2.0780000000000003,B
0.3507999999999999,2.08,B
0.3507999999999999,2.0820000000000003,B
0.3507999999999999,2.0840000000000005,B
0.3507999999999999,2.0860000000000003,B
0.3507999999999999,2.088,B
0.3507999999999999,2.0900000000000003,B
0.3507999999999999,2.0920000000000005,B
0.3507999999999999,2.0940000000000003,B
0.3507999999999999,2.096,B
0.3507999999999999,2.0980000000000003,B
0.3507999999999999,2.1000000000000005,B
0.3507999999999999,2.1020000000000003,B
0.3507999999999999,2.104,B
0.3507999999999999,2.1060000000000003,B
0.3507999999999999,2.1080000000000005,B
0.3507999999999999,2.1100000000000003,B
0.3507999999999999,2.112,B
0.3507999999999999,2.1140000000000003,B
0.3507999999999999,2.1160000000000005,B
0.3507999999999999,2.1180000000000003,B
0.3507999999999999,2.12,B
0.3507999999999999,2.1220000000000003,B
0.3507999999999999,2.1240000000000006,B
0.3507999999999999,2.1260000000000003,B
0.3507999999999999,2.128,B
0.3507999999999999,2.1300000000000003,B
0.3507999999999999,2.1320000000000006,B
0.3507999999999999,2.1340000000000003,B
0.3507999999999999,2.136,B
0.3507999999999999,2.1380000000000003,B
0.3507999999999999,2.1400000000000006,B
0.3507999999999999,2.1420000000000003,B
0.3507999999999999,2.144,B
0.3507999999999999,2.1460000000000004,B
0.3507999999999999,2.1480000000000006,B
0.3507999999999999,2.1500000000000004,B
0.3507999999999999,2.152,B
0.3507999999999999,2.1540000000000004,B
0.3507999999999999,2.1560000000000006,B
0.3507999999999999,2.1580000000000004,B
0.3507999999999999,2.16,B
0.3507999999999999,2.1620000000000004,B
0.3507999999999999,2.1640000000000006,B
0.3507999999999999,2.1660000000000004,B
0.3507999999999999,2.168,B
0.3507999999999999,2.1700000000000004,B
0.3507999999999999,2.1720000000000006,B
0.3507999999999999,2.1740000000000004,B
0.3507999999999999,2.176,B
0.3507999999999999,2.1780000000000004,B
0.3507999999999999,2.1800000000000006,B
0.3507999999999999,2.1820000000000004,B
0.3507999999999999,2.184,B
0.3507999999999999,2.1860000000000004,B
0.3507999999999999,2.1880000000000006,B
0.3507999999999999,2.1900000000000004,A
0.3507999999999999,2.192,A
0.3507999999999999,2.1940000000000004,A
0.3507999999999999,2.1960000000000006,A
0.3507999999999999,2.1980000000000004,A
0.3507999999999999,2.2,A
0.35099999999999987,1.7,B
0.35099999999999987,1.702,B
0.35099999999999987,1.704,B
0.35099999999999987,1.706,B
0.35099999999999987,1.708,B
0.35099999999999987,1.71,B
0.35099999999999987,1.712,B
0.35099999999999987,1.714,B
0.35099999999999987,1.716,B
0.35099999999999987,1.718,B
0.35099999999999987,1.72,B
0.35099999999999987,1.722,B
0.35099999999999987,1.724,B
0.35099999999999987,1.726,B
0.35099999999999987,1.728,B
0.35099999999999987,1.73,B
0.35099999999999987,1.732,B
0.35099999999999987,1.734,B
0.35099999999999987,1.736,B
0.35099999999999987,1.738,B
0.35099999999999987,1.74,B
0.35099999999999987,1.742,B
0.35099999999999987,1.744,B
0.35099999999999987,1.746,B
0.35099999999999987,1.748,B
0.35099999999999987,1.75,B
0.35099999999999987,1.752,B
0.35099999999999987,1.754,B
0.35099999999999987,1.756,B
0.35099999999999987,1.758,B
0.35099999999999987,1.76,B
0.35099999999999987,1.762,B
0.35099999999999987,1.764,B
0.35099999999999987,1.766,B
0.35099999999999987,1.768,B
0.35099999999999987,1.77,B
0.35099999999999987,1.772,B
0.35099999999999987,1.774,B
0.35099999999999987,1.776,B
0.35099999999999987,1.778,B
0.35099999999999987,1.78,B
0.35099999999999987,1.782,B
0.35099999999999987,1.784,B
0.35099999999999987,1.786,B
0.35099999999999987,1.788,B
0.35099999999999987,1.79,B
0.35099999999999987,1.792,B
0.35099999999999987,1.794,B
0.35099999999999987,1.796,B
0.35099999999999987,1.798,B
0.35099999999999987,1.8,B
0.35099999999999987,1.802,B
0.35099999999999987,1.804,B
0.35099999999999987,1.806,B
0.35099999999999987,1.808,B
0.35099999999999987,1.81,B
0.35099999999999987,1.812,B
0.35099999999999987,1.814,B
0.35099999999999987,1.816,B
0.35099999999999987,1.818,B
0.35099999999999987,1.82,B
0.35099999999999987,1.822,B
0.35099999999999987,1.824,B
0.35099999999999987,1.826,B
0.35099999999999987,1.828,B
0.35099999999999987,1.83,B
0.35099999999999987,1.832,B
0.35099999999999987,1.834,B
0.35099999999999987,1.836,B
0.35099999999999987,1.838,B
0.35099999999999987,1.84,B
0.35099999999999987,1.842,B
0.35099999999999987,1.844,B
0.35099999999999987,1.846,B
0.35099999999999987,1.848,B
0.35099999999999987,1.85,B
0.35099999999999987,1.852,B
0.35099999999999987,1.854,B
0.35099999999999987,1.856,B
0.35099999999999987,1.858,B
0.35099999999999987,1.86,B
0.35099999999999987,1.862,B
0.35099999999999987,1.864,B
0.35099999999999987,1.866,B
0.35099999999999987,1.868,B
0.35099999999999987,1.87,B
0.35099999999999987,1.872,B
0.35099999999999987,1.874,B
0.35099999999999987,1.8760000000000001,B
0.35099999999999987,1.8780000000000001,B
0.35099999999999987,1.8800000000000001,B
0.35099999999999987,1.8820000000000001,B
0.35099999999999987,1.8840000000000001,B
0.35099999999999987,1.8860000000000001,B
0.35099999999999987,1.8880000000000001,B
0.35099999999999987,1.8900000000000001,B
0.35099999999999987,1.8920000000000001,B
0.35099999999999987,1.8940000000000001,B
0.35099999999999987,1.8960000000000001,B
0.35099999999999987,1.8980000000000001,B
0.35099999999999987,1.9000000000000001,B
0.35099999999999987,1.9020000000000001,B
0.35099999999999987,1.9040000000000001,B
0.35099999999999987,1.9060000000000001,B
0.35099999999999987,1.9080000000000001,B
0.35099999999999987,1.9100000000000001,B
0.35099999999999987,1.9120000000000001,B
0.35099999999999987,1.9140000000000001,B
0.35099999999999987,1.9160000000000001,B
0.35099999999999987,1.9180000000000001,B
0.35099999999999987,1.9200000000000002,B
0.35099999999999987,1.9220000000000002,B
0.35099999999999987,1.9240000000000002,B
0.35099999999999987,1.9260000000000002,B
0.35099999999999987,1.9280000000000002,B
0.35099999999999987,1.9300000000000002,B
0.35099999999999987,1.9320000000000002,B
0.35099999999999987,1.9340000000000002,B
0.35099999999999987,1.9360000000000002,B
0.35099999999999987,1.9380000000000002,B
0.35099999999999987,1.9400000000000002,B
0.35099999999999987,1.9420000000000002,B
0.35099999999999987,1.9440000000000002,B
0.35099999999999987,1.9460000000000002,B
0.35099999999999987,1.9480000000000002,B
