m_phi,k_rot,sector
0.3954,0.3809999999999999,C
0.3954,0.3811999999999999,C
0.3954,0.38139999999999985,C
0.3954,0.38159999999999983,C
0.3954,0.3817999999999998,C
0.3954,0.3819999999999998,C
0.3954,0.38219999999999976,C
0.3954,0.38239999999999974,C
0.3954,0.3825999999999997,C
0.3954,0.3827999999999997,C
0.3954,0.3829999999999997,C
0.3954,0.38319999999999965,C
0.3954,0.38339999999999963,C
0.3954,0.3835999999999996,C
0.3954,0.3837999999999996,C
0.3954,0.38399999999999956,C
0.3954,0.38419999999999954,C
0.3954,0.3843999999999995,C
0.3954,0.3845999999999995,C
0.3954,0.3847999999999995,C
0.3954,0.38499999999999945,C
0.3954,0.38519999999999943,C
0.3954,0.3853999999999994,C
0.3954,0.3855999999999994,C
0.3954,0.38579999999999937,C
0.3954,0.38599999999999934,C
0.3954,0.3861999999999993,C
0.3954,0.3863999999999993,C
0.3954,0.3865999999999993,C
0.3954,0.38679999999999926,C
0.3954,0.38699999999999923,C
0.3954,0.3871999999999992,C
0.3954,0.3873999999999992,C
0.3954,0.38759999999999917,C
0.3954,0.38779999999999915,C
0.3954,0.3879999999999991,C
0.3954,0.3881999999999991,C
0.3954,0.3883999999999991,C
0.3954,0.38859999999999906,C
0.3954,0.38879999999999904,C
0.3954,0.388999999999999,C
0.3954,0.389199999999999,C
0.3954,0.38939999999999897,C
0.3954,0.38959999999999895,C
0.3954,0.3897999999999989,C
0.3954,0.3899999999999989,C
0.39559999999999995,0.38,C
0.39559999999999995,0.3802,C
0.39559999999999995,0.38039999999999996,C
0.39559999999999995,0.38059999999999994,C
0.39559999999999995,0.3807999999999999,C
0.39559999999999995,0.3809999999999999,C
0.39559999999999995,0.3811999999999999,C
0.39559999999999995,0.38139999999999985,C
0.39559999999999995,0.38159999999999983,C
0.39559999999999995,0.3817999999999998,C
0.39559999999999995,0.3819999999999998,C
0.39559999999999995,0.38219999999999976,C
0.39559999999999995,0.38239999999999974,C
0.39559999999999995,0.3825999999999997,C
0.39559999999999995,0.3827999999999997,C
0.39559999999999995,0.3829999999999997,C
0.39559999999999995,0.38319999999999965,C
0.39559999999999995,0.38339999999999963,C
0.39559999999999995,0.3835999999999996,C
0.39559999999999995,0.3837999999999996,C
0.39559999999999995,0.38399999999999956,C
0.39559999999999995,0.38419999999999954,C
0.39559999999999995,0.3843999999999995,C
0.39559999999999995,0.3845999999999995,C
0.39559999999999995,0.3847999999999995,C
0.39559999999999995,0.38499999999999945,C
0.39559999999999995,0.38519999999999943,C
0.39559999999999995,0.3853999999999994,C
0.39559999999999995,0.3855999999999994,C
0.39559999999999995,0.38579999999999937,C
0.39559999999999995,0.38599999999999934,C
0.39559999999999995,0.3861999999999993,C
0.39559999999999995,0.3863999999999993,C
0.39559999999999995,0.3865999999999993,C
0.39559999999999995,0.38679999999999926,C
0.39559999999999995,0.38699999999999923,C
0.39559999999999995,0.3871999999999992,C
0.39559999999999995,0.3873999999999992,C
0.39559999999999995,0.38759999999999917,C
0.39559999999999995,0.38779999999999915,C
0.39559999999999995,0.3879999999999991,C
0.39559999999999995,0.3881999999999991,C
0.39559999999999995,0.3883999999999991,C
0.39559999999999995,0.38859999999999906,C
0.39559999999999995,0.38879999999999904,C
0.39559999999999995,0.388999999999999,C
0.39559999999999995,0.389199999999999,C
0.39559999999999995,0.38939999999999897,C
0.39559999999999995,0.38959999999999895,C
0.39559999999999995,0.3897999999999989,C
0.39559999999999995,0.3899999999999989,C
0.39579999999999993,0.38,C
0.39579999999999993,0.3802,C
0.39579999999999993,0.38039999999999996,C
0.39579999999999993,0.38059999999999994,C
0.39579999999999993,0.3807999999999999,C
0.39579999999999993,0.3809999999999999,C
0.39579999999999993,0.3811999999999999,C
0.39579999999999993,0.38139999999999985,C
0.39579999999999993,0.38159999999999983,C
0.39579999999999993,0.3817999999999998,C
0.39579999999999993,0.3819999999999998,C
0.39579999999999993,0.38219999999999976,C
0.39579999999999993,0.38239999999999974,C
0.39579999999999993,0.3825999999999997,C
0.39579999999999993,0.3827999999999997,C
0.39579999999999993,0.3829999999999997,C
0.39579999999999993,0.38319999999999965,C
0.39579999999999993,0.38339999999999963,C
0.39579999999999993,0.3835999999999996,C
0.39579999999999993,0.3837999999999996,C
0.39579999999999993,0.38399999999999956,C
0.39579999999999993,0.38419999999999954,C
0.39579999999999993,0.3843999999999995,C
0.39579999999999993,0.3845999999999995,C
0.39579999999999993,0.3847999999999995,C
0.39579999999999993,0.38499999999999945,C
0.39579999999999993,0.38519999999999943,C
0.39579999999999993,0.3853999999999994,C
0.39579999999999993,0.3855999999999994,C
0.39579999999999993,0.38579999999999937,C
0.39579999999999993,0.38599999999999934,C
0.39579999999999993,0.3861999999999993,C
0.39579999999999993,0.3863999999999993,C
0.39579999999999993,0.3865999999999993,C
0.39579999999999993,0.38679999999999926,C
0.39579999999999993,0.38699999999999923,C
0.39579999999999993,0.3871999999999992,C
0.39579999999999993,0.3873999999999992,C
0.39579999999999993,0.38759999999999917,C
0.39579999999999993,0.38779999999999915,C
0.39579999999999993,0.3879999999999991,C
0.39579999999999993,0.3881999999999991,C
0.39579999999999993,0.3883999999999991,C
0.39579999999999993,0.38859999999999906,C
0.39579999999999993,0.38879999999999904,C
0.39579999999999993,0.388999999999999,C
0.39579999999999993,0.389199999999999,C
0.39579999999999993,0.38939999999999897,C
0.39579999999999993,0.38959999999999895,C
0.39579999999999993,0.3897999999999989,C
0.39579999999999993,0.3899999999999989,C
0.3959999999999999,0.38,C
0.3959999999999999,0.3802,C
0.3959999999999999,0.38039999999999996,C
0.3959999999999999,0.38059999999999994,C
0.3959999999999999,0.3807999999999999,C
0.3959999999999999,0.3809999999999999,C
0.3959999999999999,0.3811999999999999,C
0.3959999999999999,0.38139999999999985,C
0.3959999999999999,0.38159999999999983,C
0.3959999999999999,0.3817999999999998,C
0.3959999999999999,0.3819999999999998,C
0.3959999999999999,0.38219999999999976,C
0.3959999999999999,0.38239999999999974,C
0.3959999999999999,0.3825999999999997,C
0.3959999999999999,0.3827999999999997,C
0.3959999999999999,0.3829999999999997,C
0.3959999999999999,0.38319999999999965,C
0.3959999999999999,0.38339999999999963,C
0.3959999999999999,0.3835999999999996,C
0.3959999999999999,0.3837999999999996,C
0.3959999999999999,0.38399999999999956,C
0.3959999999999999,0.38419999999999954,C
0.3959999999999999,0.3843999999999995,C
0.3959999999999999,0.3845999999999995,C
0.3959999999999999,0.3847999999999995,C
0.3959999999999999,0.38499999999999945,C
0.3959999999999999,0.38519999999999943,C
0.3959999999999999,0.3853999999999994,C
0.3959999999999999,0.3855999999999994,C
0.3959999999999999,0.38579999999999937,C
0.3959999999999999,0.38599999999999934,C
0.3959999999999999,0.3861999999999993,C
0.3959999999999999,0.3863999999999993,C
0.3959999999999999,0.3865999999999993,C
0.3959999999999999,0.38679999999999926,C
0.3959999999999999,0.38699999999999923,C
0.3959999999999999,0.3871999999999992,C
0.3959999999999999,0.3873999999999992,C
0.3959999999999999,0.38759999999999917,C
0.3959999999999999,0.38779999999999915,C
0.3959999999999999,0.3879999999999991,C
0.3959999999999999,0.3881999999999991,C
0.3959999999999999,0.3883999999999991,C
0.3959999999999999,0.38859999999999906,C
0.3959999999999999,0.38879999999999904,C
0.3959999999999999,0.388999999999999,C
0.3959999999999999,0.389199999999999,C
0.3959999999999999,0.38939999999999897,C
0.3959999999999999,0.38959999999999895,C
0.3959999999999999,0.3897999999999989,C
0.3959999999999999,0.3899999999999989,C
0.3961999999999999,0.38,C
0.3961999999999999,0.3802,C
0.3961999999999999,0.38039999999999996,C
0.3961999999999999,0.38059999999999994,C
0.3961999999999999,0.3807999999999999,C
0.3961999999999999,0.3809999999999999,C
0.3961999999999999,0.3811999999999999,C
0.3961999999999999,0.38139999999999985,C
0.3961999999999999,0.38159999999999983,C
0.3961999999999999,0.3817999999999998,C
0.3961999999999999,0.3819999999999998,C
0.3961999999999999,0.38219999999999976,C
0.3961999999999999,0.38239999999999974,C
0.3961999999999999,0.3825999999999997,C
0.3961999999999999,0.3827999999999997,C
0.3961999999999999,0.3829999999999997,C
0.3961999999999999,0.38319999999999965,C
0.3961999999999999,0.38339999999999963,C
0.3961999999999999,0.3835999999999996,C
0.3961999999999999,0.3837999999999996,C
0.3961999999999999,0.38399999999999956,C
0.3961999999999999,0.38419999999999954,C
0.3961999999999999,0.3843999999999995,C
0.3961999999999999,0.3845999999999995,C
0.3961999999999999,0.3847999999999995,C
0.3961999999999999,0.38499999999999945,C
0.3961999999999999,0.38519999999999943,C
0.3961999999999999,0.3853999999999994,C
0.3961999999999999,0.3855999999999994,C
0.3961999999999999,0.38579999999999937,C
0.3961999999999999,0.38599999999999934,C
0.3961999999999999,0.3861999999999993,C
0.3961999999999999,0.3863999999999993,C
0.3961999999999999,0.3865999999999993,C
0.3961999999999999,0.38679999999999926,C
0.3961999999999999,0.38699999999999923,C
0.3961999999999999,0.3871999999999992,C
0.3961999999999999,0.3873999999999992,C
0.3961999999999999,0.38759999999999917,C
0.3961999999999999,0.38779999999999915,C
0.3961999999999999,0.3879999999999991,C
0.3961999999999999,0.3881999999999991,C
0.3961999999999999,0.3883999999999991,C
0.3961999999999999,0.38859999999999906,C
0.3961999999999999,0.38879999999999904,C
0.3961999999999999,0.388999999999999,C
0.3961999999999999,0.389199999999999,C
0.3961999999999999,0.38939999999999897,C
0.3961999999999999,0.38959999999999895,C
0.3961999999999999,0.3897999999999989,C
0.3961999999999999,0.3899999999999989,C
0.39639999999999986,0.38,C
0.39639999999999986,0.3802,C
0.39639999999999986,0.38039999999999996,C
0.39639999999999986,0.38059999999999994,C
0.39639999999999986,0.3807999999999999,C
0.39639999999999986,0.3809999999999999,C
0.39639999999999986,0.3811999999999999,C
0.39639999999999986,0.38139999999999985,C
0.39639999999999986,0.38159999999999983,C
0.39639999999999986,0.3817999999999998,C
0.39639999999999986,0.3819999999999998,C
0.39639999999999986,0.38219999999999976,C
0.39639999999999986,0.38239999999999974,C
0.39639999999999986,0.3825999999999997,C
0.39639999999999986,0.3827999999999997,C
0.39639999999999986,0.3829999999999997,C
0.39639999999999986,0.38319999999999965,C
0.39639999999999986,0.38339999999999963,C
0.39639999999999986,0.3835999999999996,C
0.39639999999999986,0.3837999999999996,C
0.39639999999999986,0.38399999999999956,C
0.39639999999999986,0.38419999999999954,C
0.39639999999999986,0.3843999999999995,C
0.39639999999999986,0.3845999999999995,C
0.39639999999999986,0.3847999999999995,C
0.39639999999999986,0.38499999999999945,C
0.39639999999999986,0.38519999999999943,C
0.39639999999999986,0.3853999999999994,C
0.39639999999999986,0.3855999999999994,C
0.39639999999999986,0.38579999999999937,C
0.39639999999999986,0.38599999999999934,C
0.39639999999999986,0.3861999999999993,C
0.39639999999999986,0.3863999999999993,C
0.39639999999999986,0.3865999999999993,C
0.39639999999999986,0.38679999999999926,C
0.39639999999999986,0.38699999999999923,C
0.39639999999999986,0.3871999999999992,C
0.39639999999999986,0.3873999999999992,C
0.39639999999999986,0.38759999999999917,C
0.39639999999999986,0.38779999999999915,C
0.39639999999999986,0.3879999999999991,C
0.39639999999999986,0.3881999999999991,C
0.39639999999999986,0.3883999999999991,C
0.39639999999999986,0.38859999999999906,C
0.39639999999999986,0.38879999999999904,C
0.39639999999999986,0.388999999999999,C
0.39639999999999986,0.389199999999999,C
0.39639999999999986,0.38939999999999897,C
0.39639999999999986,0.38959999999999895,C
0.39639999999999986,0.3897999999999989,C
0.39639999999999986,0.3899999999999989,C
0.39659999999999984,0.38,C
0.39659999999999984,0.3802,C
0.39659999999999984,0.38039999999999996,C
0.39659999999999984,0.38059999999999994,C
0.39659999999999984,0.3807999999999999,C
0.39659999999999984,0.3809999999999999,C
0.39659999999999984,0.3811999999999999,C
0.39659999999999984,0.38139999999999985,C
0.39659999999999984,0.38159999999999983,C
0.39659999999999984,0.3817999999999998,C
0.39659999999999984,0.3819999999999998,C
0.39659999999999984,0.38219999999999976,C
0.39659999999999984,0.38239999999999974,C
0.39659999999999984,0.3825999999999997,C
0.39659999999999984,0.3827999999999997,C
0.39659999999999984,0.3829999999999997,C
0.39659999999999984,0.38319999999999965,C
0.39659999999999984,0.38339999999999963,C
0.39659999999999984,0.3835999999999996,C
0.39659999999999984,0.3837999999999996,C
0.39659999999999984,0.38399999999999956,C
0.39659999999999984,0.38419999999999954,C
0.39659999999999984,0.3843999999999995,C
0.39659999999999984,0.3845999999999995,C
0.39659999999999984,0.3847999999999995,C
0.39659999999999984,0.38499999999999945,C
0.39659999999999984,0.38519999999999943,C
0.39659999999999984,0.3853999999999994,C
0.39659999999999984,0.3855999999999994,C
0.39659999999999984,0.38579999999999937,C
0.39659999999999984,0.38599999999999934,C
0.39659999999999984,0.3861999999999993,C
0.39659999999999984,0.3863999999999993,C
0.39659999999999984,0.3865999999999993,C
0.39659999999999984,0.38679999999999926,C
0.39659999999999984,0.38699999999999923,C
0.39659999999999984,0.3871999999999992,C
0.39659999999999984,0.3873999999999992,C
0.39659999999999984,0.38759999999999917,C
0.39659999999999984,0.38779999999999915,C
0.39659999999999984,0.3879999999999991,C
0.39659999999999984,0.3881999999999991,C
0.39659999999999984,0.3883999999999991,C
0.39659999999999984,0.38859999999999906,C
0.39659999999999984,0.38879999999999904,C
0.39659999999999984,0.388999999999999,C
0.39659999999999984,0.389199999999999,C
0.39659999999999984,0.38939999999999897,C
0.39659999999999984,0.38959999999999895,C
0.39659999999999984,0.3897999999999989,C
0.39659999999999984,0.3899999999999989,C
0.3967999999999998,0.38,C
0.3967999999999998,0.3802,C
0.3967999999999998,0.38039999999999996,C
0.3967999999999998,0.38059999999999994,C
0.3967999999999998,0.3807999999999999,C
0.3967999999999998,0.3809999999999999,C
0.3967999999999998,0.3811999999999999,C
0.3967999999999998,0.38139999999999985,C
0.3967999999999998,0.38159999999999983,C
0.3967999999999998,0.3817999999999998,C
0.3967999999999998,0.3819999999999998,C
0.3967999999999998,0.38219999999999976,C
0.3967999999999998,0.38239999999999974,C
0.3967999999999998,0.3825999999999997,C
0.3967999999999998,0.3827999999999997,C
0.3967999999999998,0.3829999999999997,C
0.3967999999999998,0.38319999999999965,C
0.3967999999999998,0.38339999999999963,C
0.3967999999999998,0.3835999999999996,C
0.3967999999999998,0.3837999999999996,C
0.3967999999999998,0.38399999999999956,C
0.3967999999999998,0.38419999999999954,C
0.3967999999999998,0.3843999999999995,C
0.3967999999999998,0.3845999999999995,C
0.3967999999999998,0.3847999999999995,C
0.3967999999999998,0.38499999999999945,C
0.3967999999999998,0.38519999999999943,C
0.3967999999999998,0.3853999999999994,C
0.3967999999999998,0.3855999999999994,C
0.3967999999999998,0.38579999999999937,C
0.3967999999999998,0.38599999999999934,C
0.3967999999999998,0.3861999999999993,C
0.3967999999999998,0.3863999999999993,C
0.3967999999999998,0.3865999999999993,C
0.3967999999999998,0.38679999999999926,C
0.3967999999999998,0.38699999999999923,C
0.3967999999999998,0.3871999999999992,C
0.3967999999999998,0.3873999999999992,C
0.3967999999999998,0.38759999999999917,C
0.3967999999999998,0.38779999999999915,C
0.3967999999999998,0.3879999999999991,C
0.3967999999999998,0.3881999999999991,C
0.3967999999999998,0.3883999999999991,C
0.3967999999999998,0.38859999999999906,C
0.3967999999999998,0.38879999999999904,C
0.3967999999999998,0.388999999999999,C
0.3967999999999998,0.389199999999999,C
0.3967999999999998,0.38939999999999897,C
0.3967999999999998,0.38959999999999895,C
0.3967999999999998,0.3897999999999989,C
0.3967999999999998,0.3899999999999989,C
0.3969999999999998,0.38,C
0.3969999999999998,0.3802,C
0.3969999999999998,0.38039999999999996,C
0.3969999999999998,0.38059999999999994,C
0.3969999999999998,0.3807999999999999,C
0.3969999999999998,0.3809999999999999,C
0.3969999999999998,0.3811999999999999,C
0.3969999999999998,0.38139999999999985,C
0.3969999999999998,0.38159999999999983,C
0.3969999999999998,0.3817999999999998,C
0.3969999999999998,0.3819999999999998,C
0.3969999999999998,0.38219999999999976,C
0.3969999999999998,0.38239999999999974,C
0.3969999999999998,0.3825999999999997,C
0.3969999999999998,0.3827999999999997,C
0.3969999999999998,0.3829999999999997,C
0.3969999999999998,0.38319999999999965,C
0.3969999999999998,0.38339999999999963,C
0.3969999999999998,0.3835999999999996,C
0.3969999999999998,0.3837999999999996,C
0.3969999999999998,0.38399999999999956,C
0.3969999999999998,0.38419999999999954,C
0.3969999999999998,0.3843999999999995,C
0.3969999999999998,0.3845999999999995,C
0.3969999999999998,0.3847999999999995,C
0.3969999999999998,0.38499999999999945,C
0.3969999999999998,0.38519999999999943,C
0.3969999999999998,0.3853999999999994,C
0.3969999999999998,0.3855999999999994,C
0.3969999999999998,0.38579999999999937,C
0.3969999999999998,0.38599999999999934,C
0.3969999999999998,0.3861999999999993,C
0.3969999999999998,0.3863999999999993,C
0.3969999999999998,0.3865999999999993,C
0.3969999999999998,0.38679999999999926,C
0.3969999999999998,0.38699999999999923,C
0.3969999999999998,0.3871999999999992,C
0.3969999999999998,0.3873999999999992,C
0.3969999999999998,0.38759999999999917,C
0.3969999999999998,0.38779999999999915,C
0.3969999999999998,0.3879999999999991,C
0.3969999999999998,0.3881999999999991,C
0.3969999999999998,0.3883999999999991,C
0.3969999999999998,0.38859999999999906,C
0.3969999999999998,0.38879999999999904,C
0.3969999999999998,0.388999999999999,C
0.3969999999999998,0.389199999999999,C
0.3969999999999998,0.38939999999999897,C
0.3969999999999998,0.38959999999999895,C
0.3969999999999998,0.3897999999999989,C
0.3969999999999998,0.3899999999999989,C
0.3971999999999998,0.38,C
0.3971999999999998,0.3802,C
0.3971999999999998,0.38039999999999996,C
0.3971999999999998,0.38059999999999994,C
0.3971999999999998,0.3807999999999999,C
0.3971999999999998,0.3809999999999999,C
0.3971999999999998,0.3811999999999999,C
0.3971999999999998,0.38139999999999985,C
0.3971999999999998,0.38159999999999983,C
0.3971999999999998,0.3817999999999998,C
0.3971999999999998,0.3819999999999998,C
0.3971999999999998,0.38219999999999976,C
0.3971999999999998,0.38239999999999974,C
0.3971999999999998,0.3825999999999997,C
0.3971999999999998,0.3827999999999997,C
0.3971999999999998,0.3829999999999997,C
0.3971999999999998,0.38319999999999965,C
0.3971999999999998,0.38339999999999963,C
0.3971999999999998,0.3835999999999996,C
0.3971999999999998,0.3837999999999996,C
0.3971999999999998,0.38399999999999956,C
0.3971999999999998,0.38419999999999954,C
0.3971999999999998,0.3843999999999995,C
0.3971999999999998,0.3845999999999995,C
0.3971999999999998,0.3847999999999995,C
0.3971999999999998,0.38499999999999945,C
0.3971999999999998,0.38519999999999943,C
0.3971999999999998,0.3853999999999994,C
0.3971999999999998,0.3855999999999994,C
0.3971999999999998,0.38579999999999937,C
0.3971999999999998,0.38599999999999934,C
0.3971999999999998,0.3861999999999993,C
0.3971999999999998,0.3863999999999993,C
0.3971999999999998,0.3865999999999993,C
0.3971999999999998,0.38679999999999926,C
0.3971999999999998,0.38699999999999923,C
0.3971999999999998,0.3871999999999992,C
0.3971999999999998,0.3873999999999992,C
0.3971999999999998,0.38759999999999917,C
0.3971999999999998,0.38779999999999915,C
0.3971999999999998,0.3879999999999991,C
0.3971999999999998,0.3881999999999991,C
0.3971999999999998,0.3883999999999991,C
0.3971999999999998,0.38859999999999906,C
0.3971999999999998,0.38879999999999904,C
0.3971999999999998,0.388999999999999,C
0.3971999999999998,0.389199999999999,C
0.3971999999999998,0.38939999999999897,C
0.3971999999999998,0.38959999999999895,C
0.3971999999999998,0.3897999999999989,C
0.3971999999999998,0.3899999999999989,C
0.39739999999999975,0.38,C
0.39739999999999975,0.3802,C
0.39739999999999975,0.38039999999999996,C
0.39739999999999975,0.38059999999999994,C
0.39739999999999975,0.3807999999999999,C
0.39739999999999975,0.3809999999999999,C
0.39739999999999975,0.3811999999999999,C
0.39739999999999975,0.38139999999999985,C
0.39739999999999975,0.38159999999999983,C
0.39739999999999975,0.3817999999999998,C
0.39739999999999975,0.3819999999999998,C
0.39739999999999975,0.38219999999999976,C
0.39739999999999975,0.38239999999999974,C
0.39739999999999975,0.3825999999999997,C
0.39739999999999975,0.3827999999999997,C
0.39739999999999975,0.3829999999999997,C
0.39739999999999975,0.38319999999999965,C
0.39739999999999975,0.38339999999999963,C
0.39739999999999975,0.3835999999999996,C
0.39739999999999975,0.3837999999999996,C
0.39739999999999975,0.38399999999999956,C
0.39739999999999975,0.38419999999999954,C
0.39739999999999975,0.3843999999999995,C
0.39739999999999975,0.3845999999999995,C
0.39739999999999975,0.3847999999999995,C
0.39739999999999975,0.38499999999999945,C
0.39739999999999975,0.38519999999999943,C
0.39739999999999975,0.3853999999999994,C
0.39739999999999975,0.3855999999999994,C
0.39739999999999975,0.38579999999999937,C
0.39739999999999975,0.38599999999999934,C
0.39739999999999975,0.3861999999999993,C
0.39739999999999975,0.3863999999999993,C
0.39739999999999975,0.3865999999999993,C
0.39739999999999975,0.38679999999999926,C
0.39739999999999975,0.38699999999999923,C
0.39739999999999975,0.3871999999999992,C
0.39739999999999975,0.3873999999999992,C
0.39739999999999975,0.38759999999999917,C
0.39739999999999975,0.38779999999999915,C
0.39739999999999975,0.3879999999999991,C
0.39739999999999975,0.3881999999999991,C
0.39739999999999975,0.3883999999999991,C
0.39739999999999975,0.38859999999999906,C
0.39739999999999975,0.38879999999999904,C
0.39739999999999975,0.388999999999999,C
0.39739999999999975,0.389199999999999,C
0.39739999999999975,0.38939999999999897,C
0.39739999999999975,0.38959999999999895,C
0.39739999999999975,0.3897999999999989,C
0.39739999999999975,0.3899999999999989,C
0.39759999999999973,0.38,C
0.39759999999999973,0.3802,C
0.39759999999999973,0.38039999999999996,C
0.39759999999999973,0.38059999999999994,C
0.39759999999999973,0.3807999999999999,C
0.39759999999999973,0.3809999999999999,C
0.39759999999999973,0.3811999999999999,C
0.39759999999999973,0.38139999999999985,C
0.39759999999999973,0.38159999999999983,C
0.39759999999999973,0.3817999999999998,C
0.39759999999999973,0.3819999999999998,C
0.39759999999999973,0.38219999999999976,C
0.39759999999999973,0.38239999999999974,C
0.39759999999999973,0.3825999999999997,C
0.39759999999999973,0.3827999999999997,C
0.39759999999999973,0.3829999999999997,C
0.39759999999999973,0.38319999999999965,C
0.39759999999999973,0.38339999999999963,C
0.39759999999999973,0.3835999999999996,C
0.39759999999999973,0.3837999999999996,C
0.39759999999999973,0.38399999999999956,C
0.39759999999999973,0.38419999999999954,C
0.39759999999999973,0.3843999999999995,C
0.39759999999999973,0.3845999999999995,C
0.39759999999999973,0.3847999999999995,C
0.39759999999999973,0.38499999999999945,C
0.39759999999999973,0.38519999999999943,C
0.39759999999999973,0.3853999999999994,C
0.39759999999999973,0.3855999999999994,C
0.39759999999999973,0.38579999999999937,C
0.39759999999999973,0.38599999999999934,C
0.39759999999999973,0.3861999999999993,C
0.39759999999999973,0.3863999999999993,C
0.39759999999999973,0.3865999999999993,C
0.39759999999999973,0.38679999999999926,C
0.39759999999999973,0.38699999999999923,C
0.39759999999999973,0.3871999999999992,C
0.39759999999999973,0.3873999999999992,C
0.39759999999999973,0.38759999999999917,C
0.39759999999999973,0.38779999999999915,C
0.39759999999999973,0.3879999999999991,C
0.39759999999999973,0.3881999999999991,C
0.39759999999999973,0.3883999999999991,C
0.39759999999999973,0.38859999999999906,C
0.39759999999999973,0.38879999999999904,C
0.39759999999999973,0.388999999999999,C
0.39759999999999973,0.389199999999999,C
0.39759999999999973,0.38939999999999897,C
0.39759999999999973,0.38959999999999895,C
0.39759999999999973,0.3897999999999989,C
0.39759999999999973,0.3899999999999989,C
0.3977999999999997,0.38,C
0.3977999999999997,0.3802,C
0.3977999999999997,0.38039999999999996,C
0.3977999999999997,0.38059999999999994,C
0.3977999999999997,0.3807999999999999,C
0.3977999999999997,0.3809999999999999,C
0.3977999999999997,0.3811999999999999,C
0.3977999999999997,0.38139999999999985,C
0.3977999999999997,0.38159999999999983,C
0.3977999999999997,0.3817999999999998,C
0.3977999999999997,0.3819999999999998,C
0.3977999999999997,0.38219999999999976,C
0.3977999999999997,0.38239999999999974,C
0.3977999999999997,0.3825999999999997,C
0.3977999999999997,0.3827999999999997,C
0.3977999999999997,0.3829999999999997,C
0.3977999999999997,0.38319999999999965,C
0.3977999999999997,0.38339999999999963,C
0.3977999999999997,0.3835999999999996,C
0.3977999999999997,0.3837999999999996,C
0.3977999999999997,0.38399999999999956,C
0.3977999999999997,0.38419999999999954,C
0.3977999999999997,0.3843999999999995,C
0.3977999999999997,0.3845999999999995,C
0.3977999999999997,0.3847999999999995,C
